Period,London_5_eur,EUREP,STDEV,Region 1,Region 2,Region 3,EU Average Short term contracts,Region 1 Short term contracts,Region 2 Short term contracts,Region 3 Short term contracts,EU Average (weights),Region 1 (weights),Region 2 (weights),Region 3 (weights),EU Average Short term contracts (weights),Region 1 Short term contracts (weights),Region 2 Short term contracts (weights),Region 3 Short term contracts (weights),,,EU reported prices (to Nov 22)
01/02/2023,€ 534.80,,,,,,,,,,,,,,,,,,,,EUR/MT
01/01/2023,€ 509.62,,,,,,,,,,,,,,,,,,,,
01/12/2022,€ 505.48,,,,,,,,,,,,,,,,,,,,Weighted average standard deviation of EU reported prices
01/11/2022,€ 499.88,€ 622.00,€ 109.00,€ 619.00,€ 588.00,€ 815.18,,,,,,,,,,,,,,,1s (€/t)
01/10/2022,€ 485.80,€ 586.00,€ 94.00,€ 592.00,€ 560.00,€ 711.40,616.5248,837.9322,512.3334,960.0983,786810.24,160929.68,526695.22,99185.34,49373.41,5101.2,36492.82,7779.39,,,
01/09/2022,€ 494.81,€ 512.00,€ 26.00,€ 475.00,€ 494.00,€ 669.00,666.699,820.9862,559.9668,914.8637,861516.43,178766.98,574442.66,108306.79,35795.28,4557.08,23824.72,7413.48,,,109
01/08/2022,€ 497.10,€ 484.00,€ 39.00,€ 467.00,€ 462.00,€ 623.00,694.1847,822.1782,611.432,834.4954,842717.81,181719.44,550858.61,110139.77,32648.76,5088.29,20255.66,7304.81,,,
01/07/2022,€ 501.43,€ 473.00,€ 24.00,€ 445.00,€ 458.00,€ 584.00,596.3689,751.3714,505.1002,797.5384,781025.39,152362.19,520504.24,108158.97,21005.6,2966.48,13981.53,4057.59,,,
01/06/2022,€ 517.57,€ 453.00,€ 54.00,€ 446.00,€ 438.00,€ 561.00,544.3602,727.4992,480.0533,703.4123,906456.24,177680.22,628135.84,100640.18,26175.76,2514.86,18910.74,4750.16,,,
01/05/2022,€ 516.65,€ 452.00,€ 47.00,€ 441.00,€ 438.00,€ 548.00,547.8681,641.7065,491.9354,656.677,841370.1,174833.03,567173.06,99364.01,29075.48,3411.88,18893.8,6769.8,,,
01/04/2022,€ 519.03,€ 446.00,€ 39.00,€ 440.00,€ 436.00,€ 526.00,528.8491,609.4186,465.9941,603.0052,720800.13,152481.9,493474.88,74843.35,25410.17,4171.6,13948.31,7290.26,,,
01/03/2022,€ 505.57,€ 443.00,€ 36.00,€ 429.00,€ 436.00,€ 522.00,511.3381,545.2518,472.069,567.0976,828634.55,177284.04,569247.43,82103.07,25767.01,4138.76,14167.75,7460.5,,,
01/02/2022,€ 477.14,€ 440.00,€ 42.00,€ 432.00,€ 429.00,€ 526.00,493.0062,523.4092,457.6547,550.9866,727766.29,138638.06,512978.81,76149.42,24457.88,2283.82,14519.1,7654.96,,,
01/01/2022,€ 480.83,€ 433.00,€ 35.00,€ 425.00,€ 423.00,€ 512.00,496.5244,505.3281,456.4607,539.3503,756640.15,153095.47,524340.18,79204.5,31038.71,3042.09,14787.88,13208.74,,,
01/12/2021,€ 483.59,€ 421.00,€ 36.00,€ 409.00,€ 411.00,€ 512.00,456.0762,451.9603,420.2732,526.9422,719458.26,151527.94,495595.74,72334.59,40776.79,7285.13,21969.22,11522.44,,,
01/11/2021,€ 497.02,€ 414.00,€ 32.00,€ 406.00,€ 405.00,€ 496.00,458.0422,428.1522,427.5721,514.6364,826032.04,167505.4,578380.46,80146.18,38582.21,5504.99,19611.2,13466.02,,,
