Easting,Northing,Factory,Owner,Country,Group,MegaGroup,Beet processing factory,Isoglucose factory,Factory with cane refining capacity,Beet ethanol factory,Certified organic,Liquid sugar only,Sugar cane mill
4.045498282,50.93737134,Aalst,Tereos Belgium,Belgium,Tereos,Tereos,0,1,0,0,0,0,0
7.275675055,47.03877421,Aarberg,Zucker AF,Switzerland,Others,Others,1,0,0,0,0,0,0
13.70974244,53.85589838,Anklam,Suiker Unie GmbH,Germany,Cosun,Cosun,1,0,0,1,0,0,0
6.345729199,51.72009302,Appeldorn,Pfeifer & Langen,Germany,Pfeifer & Langen,Pfeifer & Langen,1,0,0,0,0,0,0
4.126559908,48.53325911,Arcis-sur-Aube,CristalCo,France,CristalCo,CristalCo,1,0,0,1,0,0,0
13.07190251,55.63348391,Arlöv,Nordic Sugar Sweden,Sweden,Nordzucker,Nordzucker,0,0,1,0,0,0,0
1.885757391,48.09129089,Artenay,Tereos,France,Tereos,Tereos,1,0,0,1,0,0,0
1.755234867,50.4915782,Attin,Tereos,France,Tereos,Tereos,1,0,0,0,0,0,0
19.26341981,45.37891501,Bac,Sunoko,Serbia,Others,Others,1,0,1,0,0,0,0
11.86981964,51.98745618,Barby,Cargill Germany,Germany,Cargill,Others,0,1,0,0,0,0,0
4.166389527,49.35267263,Bazancourt,CristalCo,France,CristalCo,CristalCo,1,0,0,1,0,0,0
-5.673390663,41.985007,Benavente,Ebro,Spain,Ebro,AB Sugar,0,0,0,0,0,0,0
-0.431389094,39.2831719,Benifayo,Roquette,Spain,Roquette,Others,1,1,0,0,0,0,0
21.35867854,41.01537042,Bitola,Litex,Macedonia,Others,Others,1,0,1,0,0,0,0
25.59575743,45.75597686,Bod,SC Fabrica de Zahar Bod S.A.,Romania,Bod,Others,0,0,1,0,0,0,0
2.768450518,50.2101027,Boiry,Tereos,France,Tereos,Tereos,1,0,0,0,0,0,0
17.4994878,48.46711436,Boleraz,T&L Slovakia,Slovakia,T&L,Others,1,1,0,0,0,0,0
3.170845273,45.79308551,Bourdon,Bourdon,France,CristalCo,CristalCo,1,0,0,0,0,0,0
18.82147214,44.87102868,Brcko,Studen,Bosnia,Agrana,Suedzucker,1,0,1,0,0,0,0
17.9633669,40.63756292,Brindisi,SFIR Italy,Italy,ASR,ASR,0,0,1,0,0,0,0
13.22163167,51.45956637,Brottewitz,Sudzucker,Germany,Suedzucker,Suedzucker,1,0,0,0,0,0,0
3.367987432,49.39214345,Bucy,Tereos,France,Tereos,Tereos,1,0,0,1,0,0,0
0.732505479,52.25603159,Bury St. Edmunds,British Sugar,United Kingdom,British Sugar,AB Sugar,1,0,0,0,0,0,0
