Row Labels,Avg Region 1,Avg Region 2,Avg Region 3,Avg EU Reported Price,Export Parity,Import Parity
01-Jan-20,368.37,346.9,445.15,360.48,,
02-Jan-20,368.37,346.9,445.15,360.48,265,390
03-Jan-20,368.37,346.9,445.15,360.48,270,395
06-Jan-20,368.37,346.9,445.15,360.48,276,402
07-Jan-20,368.37,346.9,445.15,360.48,275,400
08-Jan-20,368.37,346.9,445.15,360.48,275,399
09-Jan-20,368.37,346.9,445.15,360.48,281,404
10-Jan-20,368.37,346.9,445.15,360.48,290,412
13-Jan-20,368.37,346.9,445.15,360.48,294,413
14-Jan-20,368.37,346.9,445.15,360.48,301,416
15-Jan-20,368.37,346.9,445.15,360.48,303,420
16-Jan-20,368.37,346.9,445.15,360.48,307,417
17-Jan-20,368.37,346.9,445.15,360.48,309,419
20-Jan-20,368.37,346.9,445.15,360.48,312,
21-Jan-20,368.37,346.9,445.15,360.48,313,421
22-Jan-20,368.37,346.9,445.15,360.48,317,424
23-Jan-20,368.37,346.9,445.15,360.48,314,422
24-Jan-20,368.37,346.9,445.15,360.48,314,420
27-Jan-20,368.37,346.9,445.15,360.48,309,417
28-Jan-20,368.37,346.9,445.15,360.48,318,424
29-Jan-20,368.37,346.9,445.15,360.48,320,423
30-Jan-20,368.37,346.9,445.15,360.48,320,425
31-Jan-20,368.37,346.9,445.15,360.48,318,424
03-Feb-20,378.53,357.88,449.92,370.78,326,430
04-Feb-20,378.53,357.88,449.92,370.78,324,426
05-Feb-20,378.53,357.88,449.92,370.78,325,428
06-Feb-20,378.53,357.88,449.92,370.78,326,428
07-Feb-20,378.53,357.88,449.92,370.78,340,433
10-Feb-20,378.53,357.88,449.92,370.78,343,436
11-Feb-20,378.53,357.88,449.92,370.78,351,445
12-Feb-20,378.53,357.88,449.92,370.78,363,453
13-Feb-20,378.53,357.88,449.92,370.78,342,441
14-Feb-20,378.53,357.88,449.92,370.78,326,440
17-Feb-20,378.53,357.88,449.92,370.78,328,
18-Feb-20,378.53,357.88,449.92,370.78,335,445
19-Feb-20,378.53,357.88,449.92,370.78,341,452
20-Feb-20,378.53,357.88,449.92,370.78,339,449
21-Feb-20,378.53,357.88,449.92,370.78,342,452
24-Feb-20,378.53,357.88,449.92,370.78,333,445
25-Feb-20,378.53,357.88,449.92,370.78,331,442
26-Feb-20,378.53,357.88,449.92,370.78,323,433
27-Feb-20,378.53,357.88,449.92,370.78,314,422
28-Feb-20,378.53,357.88,449.92,370.78,311,423
02-Mar-20,383.08,363.51,444.96,374.53,302,406
03-Mar-20,383.08,363.51,444.96,374.53,300,405
04-Mar-20,383.08,363.51,444.96,374.53,296,399
05-Mar-20,383.08,363.51,444.96,374.53,293,396
06-Mar-20,383.08,363.51,444.96,374.53,277,384
09-Mar-20,383.08,363.51,444.96,374.53,260,373
10-Mar-20,383.08,363.51,444.96,374.53,268,374
11-Mar-20,383.08,363.51,444.96,374.53,267,369
12-Mar-20,383.08,363.51,444.96,374.53,265,358
13-Mar-20,383.08,363.51,444.96,374.53,270,363
16-Mar-20,383.08,363.51,444.96,374.53,257,349
17-Mar-20,383.08,363.51,444.96,374.53,258,349
18-Mar-20,383.08,363.51,444.96,374.53,257,346
19-Mar-20,383.08,363.51,444.96,374.53,263,347
20-Mar-20,383.08,363.51,444.96,374.53,272,356
23-Mar-20,383.08,363.51,444.96,374.53,266,357
24-Mar-20,383.08,363.51,444.96,374.53,263,360
25-Mar-20,383.08,363.51,444.96,374.53,263,364
26-Mar-20,383.08,363.51,444.96,374.53,269,358
27-Mar-20,383.08,363.51,444.96,374.53,269,354
30-Mar-20,383.08,363.51,444.96,374.53,273,345
31-Mar-20,383.08,363.51,444.96,374.53,272,340
01-Apr-20,384.25,371.17,450.75,379.38,263,332
02-Apr-20,384.25,371.17,450.75,379.38,262,338
03-Apr-20,384.25,371.17,450.75,379.38,262,341
06-Apr-20,384.25,371.17,450.75,379.38,256,344
07-Apr-20,384.25,371.17,450.75,379.38,252,341
08-Apr-20,384.25,371.17,450.75,379.38,262,341
09-Apr-20,384.25,371.17,450.75,379.38,271,342
10-Apr-20,384.25,371.17,450.75,379.38,,
13-Apr-20,384.25,371.17,450.75,379.38,,
14-Apr-20,384.25,371.17,450.75,379.38,265,332
15-Apr-20,384.25,371.17,450.75,379.38,264,336
16-Apr-20,384.25,371.17,450.75,379.38,260,336
17-Apr-20,384.25,371.17,450.75,379.38,263,341
20-Apr-20,384.25,371.17,450.75,379.38,253,334
21-Apr-20,384.25,371.17,450.75,379.38,247,328
22-Apr-20,384.25,371.17,450.75,379.38,249,329
23-Apr-20,384.25,371.17,450.75,379.38,249,332
24-Apr-20,384.25,371.17,450.75,379.38,244,329
27-Apr-20,384.25,371.17,450.75,379.38,233,317
28-Apr-20,384.25,371.17,450.75,379.38,237,319
29-Apr-20,384.25,371.17,450.75,379.38,246,328
30-Apr-20,384.25,371.17,450.75,379.38,259,341
01-May-20,386.25,363.44,452.87,375.39,,
04-May-20,386.25,363.44,452.87,375.39,263,340
05-May-20,386.25,363.44,452.87,375.39,280,350
06-May-20,386.25,363.44,452.87,375.39,269,340
07-May-20,386.25,363.44,452.87,375.39,273,342
08-May-20,386.25,363.44,452.87,375.39,,340
11-May-20,386.25,363.44,452.87,375.39,265,336
12-May-20,386.25,363.44,452.87,375.39,267,338
13-May-20,386.25,363.44,452.87,375.39,267,338
14-May-20,386.25,363.44,452.87,375.39,279,344
15-May-20,386.25,363.44,452.87,375.39,283,342
18-May-20,386.25,363.44,452.87,375.39,286,351
19-May-20,386.25,363.44,452.87,375.39,283,349
20-May-20,386.25,363.44,452.87,375.39,285,356
21-May-20,386.25,363.44,452.87,375.39,282,350
22-May-20,386.25,363.44,452.87,375.39,286,352
25-May-20,386.25,363.44,452.87,375.39,,
26-May-20,386.25,363.44,452.87,375.39,293,353
27-May-20,386.25,363.44,452.87,375.39,281,347
28-May-20,386.25,363.44,452.87,375.39,278,346
29-May-20,386.25,363.44,452.87,375.39,275,346
01-Jun-20,380.36,367.24,458.38,378.63,278,348
02-Jun-20,380.36,367.24,458.38,378.63,281,351
03-Jun-20,380.36,367.24,458.38,378.63,286,359
04-Jun-20,380.36,367.24,458.38,378.63,292,360
05-Jun-20,380.36,367.24,458.38,378.63,297,364
08-Jun-20,380.36,367.24,458.38,378.63,293,364
09-Jun-20,380.36,367.24,458.38,378.63,294,365
10-Jun-20,380.36,367.24,458.38,378.63,297,367
11-Jun-20,380.36,367.24,458.38,378.63,292,362
12-Jun-20,380.36,367.24,458.38,378.63,289,362
15-Jun-20,380.36,367.24,458.38,378.63,291,366
16-Jun-20,380.36,367.24,458.38,378.63,280,370
17-Jun-20,380.36,367.24,458.38,378.63,279,371
18-Jun-20,380.36,367.24,458.38,378.63,271,367
19-Jun-20,380.36,367.24,458.38,378.63,271,370
22-Jun-20,380.36,367.24,458.38,378.63,269,368
23-Jun-20,380.36,367.24,458.38,378.63,265,362
24-Jun-20,380.36,367.24,458.38,378.63,264,362
25-Jun-20,380.36,367.24,458.38,378.63,267,365
26-Jun-20,380.36,367.24,458.38,378.63,261,359
29-Jun-20,380.36,367.24,458.38,378.63,261,360
30-Jun-20,380.36,367.24,458.38,378.63,267,366
01-Jul-20,378.3,367.36,463.11,378.25,270,370
02-Jul-20,378.3,367.36,463.11,378.25,265,370
03-Jul-20,378.3,367.36,463.11,378.25,267,
06-Jul-20,378.3,367.36,463.11,378.25,260,362
07-Jul-20,378.3,367.36,463.11,378.25,263,368
08-Jul-20,378.3,367.36,463.11,378.25,261,366
09-Jul-20,378.3,367.36,463.11,378.25,256,360
10-Jul-20,378.3,367.36,463.11,378.25,254,360
13-Jul-20,378.3,367.36,463.11,378.25,252,355
14-Jul-20,378.3,367.36,463.11,378.25,247,349
15-Jul-20,378.3,367.36,463.11,378.25,256,358
16-Jul-20,378.3,367.36,463.11,378.25,255,358
17-Jul-20,378.3,367.36,463.11,378.25,258,356
20-Jul-20,378.3,367.36,463.11,378.25,256,355
21-Jul-20,378.3,367.36,463.11,378.25,260,355
22-Jul-20,378.3,367.36,463.11,378.25,260,355
23-Jul-20,378.3,367.36,463.11,378.25,259,354
24-Jul-20,378.3,367.36,463.11,378.25,252,347
27-Jul-20,378.3,367.36,463.11,378.25,261,356
28-Jul-20,378.3,367.36,463.11,378.25,260,355
29-Jul-20,378.3,367.36,463.11,378.25,261,355
30-Jul-20,378.3,367.36,463.11,378.25,264,357
31-Jul-20,378.3,367.36,463.11,378.25,272,365
03-Aug-20,382.52,365.33,464.81,378.37,270,369
04-Aug-20,382.52,365.33,464.81,378.37,268,369
05-Aug-20,382.52,365.33,464.81,378.37,261,362
06-Aug-20,382.52,365.33,464.81,378.37,269,370
07-Aug-20,382.52,365.33,464.81,378.37,265,366
10-Aug-20,382.52,365.33,464.81,378.37,265,365
11-Aug-20,382.52,365.33,464.81,378.37,266,368
12-Aug-20,382.52,365.33,464.81,378.37,269,370
13-Aug-20,382.52,365.33,464.81,378.37,272,374
14-Aug-20,382.52,365.33,464.81,378.37,273,374
17-Aug-20,382.52,365.33,464.81,378.37,270,373
18-Aug-20,382.52,365.33,464.81,378.37,264,368
19-Aug-20,382.52,365.33,464.81,378.37,268,374
20-Aug-20,382.52,365.33,464.81,378.37,268,372
21-Aug-20,382.52,365.33,464.81,378.37,265,370
24-Aug-20,382.52,365.33,464.81,378.37,261,366
25-Aug-20,382.52,365.33,464.81,378.37,257,368
26-Aug-20,382.52,365.33,464.81,378.37,255,365
27-Aug-20,382.52,365.33,464.81,378.37,257,368
28-Aug-20,382.52,365.33,464.81,378.37,252,362
31-Aug-20,382.52,365.33,464.81,378.37,,363
01-Sep-20,380.81,362.22,459.4,376.31,252,361
02-Sep-20,380.81,362.22,459.4,376.31,253,360
03-Sep-20,380.81,362.22,459.4,376.31,249,354
04-Sep-20,380.81,362.22,459.4,376.31,249,351
07-Sep-20,380.81,362.22,459.4,376.31,254,
08-Sep-20,380.81,362.22,459.4,376.31,256,354
09-Sep-20,380.81,362.22,459.4,376.31,254,354
10-Sep-20,380.81,362.22,459.4,376.31,249,350
11-Sep-20,380.81,362.22,459.4,376.31,251,351
14-Sep-20,380.81,362.22,459.4,376.31,245,347
15-Sep-20,380.81,362.22,459.4,376.31,245,353
16-Sep-20,380.81,362.22,459.4,376.31,252,358
17-Sep-20,380.81,362.22,459.4,376.31,262,365
18-Sep-20,380.81,362.22,459.4,376.31,264,367
21-Sep-20,380.81,362.22,459.4,376.31,261,364
22-Sep-20,380.81,362.22,459.4,376.31,267,372
23-Sep-20,380.81,362.22,459.4,376.31,267,372
24-Sep-20,380.81,362.22,459.4,376.31,271,373
25-Sep-20,380.81,362.22,459.4,376.31,274,376
28-Sep-20,380.81,362.22,459.4,376.31,264,368
29-Sep-20,380.81,362.22,459.4,376.31,268,375
30-Sep-20,380.81,362.22,459.4,376.31,271,376
01-Oct-20,378.69,370.95,450.81,381.06,269,385
02-Oct-20,378.69,370.95,450.81,381.06,269,385
05-Oct-20,378.69,370.95,450.81,381.06,267,385
06-Oct-20,378.69,370.95,450.81,381.06,271,390
07-Oct-20,378.69,370.95,450.81,381.06,276,395
08-Oct-20,378.69,370.95,450.81,381.06,278,396
09-Oct-20,378.69,370.95,450.81,381.06,276,396
12-Oct-20,378.69,370.95,450.81,381.06,274,389
13-Oct-20,378.69,370.95,450.81,381.06,278,392
14-Oct-20,378.69,370.95,450.81,381.06,279,397
15-Oct-20,378.69,370.95,450.81,381.06,282,398
16-Oct-20,378.69,370.95,450.81,381.06,287,402
19-Oct-20,378.69,370.95,450.81,381.06,292,406
20-Oct-20,378.69,370.95,450.81,381.06,286,402
21-Oct-20,378.69,370.95,450.81,381.06,282,400
22-Oct-20,378.69,370.95,450.81,381.06,288,406
23-Oct-20,378.69,370.95,450.81,381.06,284,404
26-Oct-20,378.69,370.95,450.81,381.06,286,406
27-Oct-20,378.69,370.95,450.81,381.06,286,407
28-Oct-20,378.69,370.95,450.81,381.06,288,411
29-Oct-20,378.69,370.95,450.81,381.06,280,402
30-Oct-20,378.69,370.95,450.81,381.06,284,401
02-Nov-20,383.73,369.08,449.9,379,295,415
03-Nov-20,383.73,369.08,449.9,379,289,408
04-Nov-20,383.73,369.08,449.9,379,284,407
05-Nov-20,383.73,369.08,449.9,379,279,400
06-Nov-20,383.73,369.08,449.9,379,287,408
09-Nov-20,383.73,369.08,449.9,379,287,407
10-Nov-20,383.73,369.08,449.9,379,288,405
11-Nov-20,383.73,369.08,449.9,379,288,402
12-Nov-20,383.73,369.08,449.9,379,295,410
13-Nov-20,383.73,369.08,449.9,379,299,410
16-Nov-20,383.73,369.08,449.9,379,306,420
17-Nov-20,383.73,369.08,449.9,379,299,415
18-Nov-20,383.73,369.08,449.9,379,301,418
19-Nov-20,383.73,369.08,449.9,379,300,416
20-Nov-20,383.73,369.08,449.9,379,298,414
23-Nov-20,383.73,369.08,449.9,379,296,411
24-Nov-20,383.73,369.08,449.9,379,294,410
25-Nov-20,383.73,369.08,449.9,379,287,404
26-Nov-20,383.73,369.08,449.9,379,290,
27-Nov-20,383.73,369.08,449.9,379,289,405
