coicop18,geo,OBS_VALUE,coicop_description,HICP_2017,consumption,Date
CP0126,IS,143.92,Soft drinks (ND),99.28,0.7,01/05/2026
CP0126,LU,122.42,Soft drinks (ND),102.74,0.7,01/05/2026
CP0126,SK,201.3,Soft drinks (ND),100,20,01/05/2026
CP0126,SI,159.48,Soft drinks (ND),102.04,9.4,01/05/2026
CP0126,SE,125.83,Soft drinks (ND),100.8,33.9,01/05/2026
CP0126,RO,193.24,Soft drinks (ND),97.16,46.6,01/05/2026
CP0126,PT,135.21,Soft drinks (ND),124.16,24.8,01/05/2026
CP0126,PL,166.6,Soft drinks (ND),97.48,141.6,01/05/2026
CP0126,NL,147.88,Soft drinks (ND),106.09,62.3,01/05/2026
CP0126,MT,145.06,Soft drinks (ND),108.02,2.4,01/05/2026
CP0126,MK,104.33,Soft drinks (ND),98.1,6.5,01/05/2026
CP0126,LV,168.2,Soft drinks (ND),101.33,4.8,01/05/2026
CP0126,LT,189.51,Soft drinks (ND),108,6.9,01/05/2026
CP0126,IT,130,Soft drinks (ND),98.9,140.9,01/05/2026
CP0126,IE,140.61,Soft drinks (ND),97.4,12.2,01/05/2026
CP0126,HU,209.93,Soft drinks (ND),102.97,19.7,01/05/2026
CP0126,HR,155.35,Soft drinks (ND),104.49,12.2,01/05/2026
CP0126,FR,146.89,Soft drinks (ND),100.49,210.4,01/05/2026
CP0126,FI,141.01,Soft drinks (ND),98.45,17.1,01/05/2026
CP0126,ES,153.22,Soft drinks (ND),103.14,102.4,01/05/2026
CP0126,EL,123.3,Soft drinks (ND),99.88,24.1,01/05/2026
CP0126,EE,171.04,Soft drinks (ND),105.85,5.4,01/05/2026
CP0126,DK,114.63,Soft drinks (ND),96.91,20.8,01/05/2026
CP0126,DE,154.74,Soft drinks (ND),101.99,244.7,01/05/2026
CP0126,CZ,139.28,Soft drinks (ND),96.29,40.5,01/05/2026
CP0126,CY,130.7,Soft drinks (ND),88.07,2.5,01/05/2026
CP0126,CH,107.51,Soft drinks (ND),98.39,25.7,01/05/2026
CP0126,BG,162.6,Soft drinks (ND),102.65,22.2,01/05/2026
CP0126,BE,138.37,Soft drinks (ND),104.96,50.8,01/05/2026
CP0126,AT,155.18,Soft drinks (ND),105.44,27.8,01/05/2026
CP01260,AT,155.18,Soft drinks (ND),105.44,27.8,01/05/2026
CP01260,BE,138.37,Soft drinks (ND),104.96,50.8,01/05/2026
CP01260,BG,162.6,Soft drinks (ND),102.65,22.2,01/05/2026
CP01260,CH,107.51,Soft drinks (ND),98.39,25.7,01/05/2026
CP01260,CY,130.7,Soft drinks (ND),88.07,2.5,01/05/2026
CP01260,CZ,139.28,Soft drinks (ND),96.29,40.5,01/05/2026
CP01260,DE,154.74,Soft drinks (ND),101.99,244.7,01/05/2026
CP01260,DK,114.63,Soft drinks (ND),96.91,20.8,01/05/2026
CP01260,EE,171.04,Soft drinks (ND),105.85,5.4,01/05/2026
CP01260,EL,123.3,Soft drinks (ND),99.88,24.1,01/05/2026
CP01260,ES,153.22,Soft drinks (ND),103.14,102.4,01/05/2026
CP01260,FI,141.01,Soft drinks (ND),98.45,17.1,01/05/2026
CP01260,FR,146.89,Soft drinks (ND),100.49,210.4,01/05/2026
CP01260,HR,155.35,Soft drinks (ND),104.49,12.2,01/05/2026
CP01260,HU,209.93,Soft drinks (ND),102.97,19.7,01/05/2026
CP01260,IE,140.61,Soft drinks (ND),97.4,12.2,01/05/2026
CP01260,IT,130,Soft drinks (ND),98.9,140.9,01/05/2026
CP01260,LT,189.51,Soft drinks (ND),108,6.9,01/05/2026
CP01260,LV,168.2,Soft drinks (ND),101.33,4.8,01/05/2026
CP01260,MK,104.33,Soft drinks (ND),98.1,6.5,01/05/2026
CP01260,MT,145.06,Soft drinks (ND),108.02,2.4,01/05/2026
CP01260,NL,147.88,Soft drinks (ND),106.09,62.3,01/05/2026
CP01260,PL,166.6,Soft drinks (ND),97.48,141.6,01/05/2026
CP01260,PT,135.21,Soft drinks (ND),124.16,24.8,01/05/2026
CP01260,RO,193.24,Soft drinks (ND),97.16,46.6,01/05/2026
CP01260,SE,125.83,Soft drinks (ND),100.8,33.9,01/05/2026
CP01260,SI,159.48,Soft drinks (ND),102.04,9.4,01/05/2026
CP01260,SK,201.3,Soft drinks (ND),100,20,01/05/2026
CP01260,LU,122.42,Soft drinks (ND),102.74,0.7,01/05/2026
