QUARTER_YEAR	QUALITY_DESC	ISO2 (Declarant)	ISO2 (Partner)	Quantity (mt)	Value (€)	Price (€/t) (f)
Q1 - 2023	Beet molasses	CY	EG	0	€ 599	
Q1 - 2023	Beet molasses	DE	EG	1	€ 1,047	
Q1 - 2023	Beet molasses	FR	DZ	15	€ 17,854	
Q1 - 2023	Beet molasses	IT	EG	4,650	€ 1,395,000	€ 300
Q1 - 2023	Beet molasses	PT	EG	8,504	€ 3,083,443	
Q1 - 2023	Cane molasses	BE	EG	0	€ 582	
Q1 - 2023	Cane molasses	CY	ZA	24	€ 9,756	
Q1 - 2023	Cane molasses	ES	MA	3,133	€ 861,618	€ 275
Q1 - 2023	Cane molasses	FR	DZ	2,524	€ 978,024	€ 387
Q1 - 2023	Cane molasses	FR	EG	8	€ 13,927	
Q1 - 2023	Cane molasses	GB	MZ	42	€ 15,266	
Q1 - 2023	Cane molasses	GR	EG	0	€ 187	
Q1 - 2023	Cane molasses	IT	EG	21	€ 28,647	
Q1 - 2023	Cane molasses	PT	EG	11	€ 17,065	
Q1 - 2023	Caramel	BE	MA	2	€ 8,308	
Q1 - 2023	Caramel	FR	DZ	0	€ 2,290	
Q1 - 2023	Caramel	FR	SZ	0	€ 8,809	
Q1 - 2023	Caramel	NL	ZA	31	€ 28,826	
Q1 - 2023	DC raws (beet)	MT	MU	150	€ 147,500	
Q1 - 2023	DC raws (centrifugal)	AT	MU	384	€ 326,154	
Q1 - 2023	DC raws (centrifugal)	BE	CM	0	€ 74	
Q1 - 2023	DC raws (centrifugal)	BE	MU	4,240	€ 3,472,033	€ 819
Q1 - 2023	DC raws (centrifugal)	BE	SZ	2,576	€ 1,476,645	€ 574
Q1 - 2023	DC raws (centrifugal)	BG	MU	690	€ 545,897	€ 788
Q1 - 2023	DC raws (centrifugal)	BG	ZA	92	€ 89,517	
Q1 - 2023	DC raws (centrifugal)	CY	MU	1	€ 2,721	
Q1 - 2023	DC raws (centrifugal)	CZ	MU	368	€ 292,789	€ 759
