LAST UPDATE,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,coicop_description,hicp_201710.OBS_VALUE
18/08/2023 11:00,I05,CP00,AT,01/07/2006,101.72,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2006,102.03,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2006,101.89,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2006,101.82,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2006,101.95,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2006,102.33,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2007,102.41,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2007,102.72,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2007,103.21,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2007,103.65,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2007,103.83,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2007,103.82,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2007,103.76,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2007,103.8,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2007,104.05,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2007,104.73,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2007,105.23,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2007,105.89,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2008,105.58,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2008,105.9,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2008,106.86,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2008,107.15,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2008,107.72,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2008,108.02,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2008,107.7,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2008,107.51,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2008,107.93,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2008,107.89,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2008,107.61,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2008,107.44,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2009,106.81,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2009,107.33,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2009,107.52,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2009,107.71,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2009,107.79,All-items HICP,126.51
