MKTG_YR,PlusMinusValue,ISO2,Source,Parameter
2020/21,7010,CN,ISO,Imports
2023/24,6890,CN,ISO,Imports
2022/23,6270,CN,ISO,Imports
2021/22,5895,CN,ISO,Imports
2017/18,4936,CN,ISO,Imports
2019/20,4554,CN,ISO,Imports
2018/19,4367,CN,ISO,Imports
2016/17,3677,CN,ISO,Imports
2019/20,285,AE,ISO,Imports
2020/21,270,AE,ISO,Imports
2023/24,250,AE,ISO,Imports
2022/23,250,AE,ISO,Imports
2021/22,250,AE,ISO,Imports
2016/17,2730,AE,ISO,Imports
2017/18,2031,AE,ISO,Imports
2021/22,1594,AE,ISO,Imports
2020/21,1582,AE,ISO,Imports
2023/24,1380,AE,ISO,Imports
2022/23,1380,AE,ISO,Imports
2018/19,1157,AE,ISO,Imports
2019/20,988,AE,ISO,Imports
2019/20,6146,ID,ISO,Imports
2022/23,5567,ID,ISO,Imports
2020/21,5249,ID,ISO,Imports
2021/22,5158,ID,ISO,Imports
2017/18,5004,ID,ISO,Imports
2023/24,4900,ID,ISO,Imports
2018/19,4662,ID,ISO,Imports
2016/17,4512,ID,ISO,Imports
2017/18,851,AF,ISO,Imports
2019/20,605,AF,ISO,Imports
2018/19,543,AF,ISO,Imports
2020/21,463,AF,ISO,Imports
2021/22,360,AF,ISO,Imports
2023/24,340,AF,ISO,Imports
2022/23,340,AF,ISO,Imports
2016/17,325,AF,ISO,Imports
2016/17,472,AO,ISO,Imports
2018/19,428,AO,ISO,Imports
2019/20,344,AO,ISO,Imports
2017/18,328,AO,ISO,Imports
2023/24,300,AO,ISO,Imports
2021/22,293,AO,ISO,Imports
2022/23,290,AO,ISO,Imports
2020/21,268,AO,ISO,Imports
2019/20,3577,US,ISO,Imports
2022/23,3133,US,ISO,Imports
2017/18,2979,US,ISO,Imports
2020/21,2887,US,ISO,Imports
2021/22,2876,US,ISO,Imports
2016/17,2840,US,ISO,Imports
2023/24,2798,US,ISO,Imports
2018/19,2663,US,ISO,Imports
2023/24,230,AZ,ISO,Imports
2022/23,230,AZ,ISO,Imports
2021/22,230,AZ,ISO,Imports
2016/17,2768,IN,ISO,Imports
2017/18,2058,IN,ISO,Imports
2019/20,1567,IN,ISO,Imports
2020/21,1256,IN,ISO,Imports
2018/19,1185,IN,ISO,Imports
2022/23,928,IN,ISO,Imports
2023/24,800,IN,ISO,Imports
2021/22,338,IN,ISO,Imports
2016/17,2695,BD,ISO,Imports
2019/20,2527,BD,ISO,Imports
2021/22,2470,BD,ISO,Imports
2023/24,2455,BD,ISO,Imports
2022/23,2400,BD,ISO,Imports
2020/21,2362,BD,ISO,Imports
2018/19,2231,BD,ISO,Imports
2017/18,2023,BD,ISO,Imports
2020/21,2530,DZ,ISO,Imports
2023/24,2491,DZ,ISO,Imports
2022/23,2491,DZ,ISO,Imports
2019/20,2402,DZ,ISO,Imports
2017/18,2347,DZ,ISO,Imports
2018/19,2246,DZ,ISO,Imports
2016/17,2129,DZ,ISO,Imports
2021/22,2116,DZ,ISO,Imports
2017/18,410,BJ,ISO,Imports
2018/19,391,BJ,ISO,Imports
2019/20,275,BJ,ISO,Imports
2020/21,243,BJ,ISO,Imports
