CN_CODE,LONG_DESCRIPTION,QUALITY_HEADING,QUALITY_DESC,QUALITY_DESC_HS6
17010000,Sugar (all qualities of sugar under 1701),Sugar,Sugar (all qualities),Sugar (all qualities)
17011200,Raw sugar,Sugar,Raw sugar,Raw sugar
17011300,Raw sugar,Sugar,Raw sugar,Raw sugar
17011100,Raw sugar,Sugar,Raw sugar,Raw sugar
17011400,Raw sugar,Sugar,Raw sugar,Raw sugar
17019900,White sugar,Sugar,White sugar,White sugar
12091000,"Sugar beet seed, for sowing",Seeds,Sugar beet seed,Sugar beet seed
12091100,"Sugar beet seed, for sowing",Seeds,Sugar beet seed,Sugar beet seed
12092960,"Fodder beet seed ""Beta vulgaris var. alba"", for sowing",Seeds,Sugar beet seed,Sugar beet seed
12129110,Fresh sugar beet,Sugar beet,Sugar beet,Sugar beet
12129120,"Sugar beet, dried, whether or not ground",Sugar beet,Sugar beet,Sugar beet
12129180,"Sugar beet, fresh, chilled or frozen",Sugar beet,Sugar beet,Sugar beet
12129190,Dried or powdered sugar beet,Sugar beet,Sugar beet,Sugar beet
12129300,"Sugar cane, fresh, chilled, frozen or dried, whether or not ground",Sugar cane,Sugar cane,Sugar cane
12129920,"Sugar cane, fresh, chilled, frozen or dried, whether or not ground",Sugar cane,Sugar cane,Sugar cane
17011110,"Raw cane sugar, for refining (excl. added flavouring or colouring)",Sugar,Raw sugar for refining,Raw sugar
17011190,Raw cane sugar (excl. for refining and added flavouring or colouring),Sugar,DC raw sugar,Raw sugar
17011210,"Raw beet sugar, for refining (excl. added flavouring or colouring)",Sugar,Raw sugar for refining,Raw sugar
17011290,Raw beet sugar (excl. for refining and added flavouring or colouring),Sugar,DC raw sugar,Raw sugar
17011310,"Raw cane sugar for refining, in solid form, not containing added flavouring or colouring matter, obtained without centrifugation, with sucrose content 69° to 93°, containing only natural anhedral microcrystals [see subheading note 2.]",Sugar,Raw sugar for refining,Raw sugar
17011390,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained without centrifugation, with sucrose content 69° to 93°, containing only natural anhedral microcrystals [see subheading note 2.] (excl. for refining)",Sugar,DC raw sugar,Raw sugar
17011410,"Raw cane sugar for refining, in solid form, not containing added flavouring or colouring matter (excl. cane sugar of 1701 13)",Sugar,Raw sugar for refining,Raw sugar
17011490,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excl. for refining, and cane sugar of 1701 13)",Sugar,DC raw sugar,Raw sugar
17019100,"Refined cane or beet sugar, containing added flavouring or colouring, in solid form",Sugar,White sugar,White sugar
17019910,"White sugar, containing in dry state>= 99,5% sucrose (excl. flavoured or coloured)",Sugar,White sugar,White sugar
17019990,"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing added flavouring or colouring, raw sugar and white sugar)",Sugar,White sugar,White sugar
17021010,"Lactose in solid form and lactose syrup not containing added flavouring or colouring matter, containing, in the dry state, >= 99% by weight of the pure product",Other sugars,Lactose,Lactose
17021090,"Lactose in solid form and lactose syrup not containing added flavouring or colouring matter, containing, in the dry state, < 99% by weight of the pure product",Other sugars,Lactose,Lactose
17021100,"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, containing by weight >= 99% lactose, expressed as anhydrous lactose, calculated on the dry matter",Other sugars,Lactose,Lactose
17021900,"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, containing by weight < 99% lactose, expressed as anhydrous lactose, calculated on the dry matter",Other sugars,Lactose,Lactose
17022010,"Maple sugar, in solid form, flavoured or coloured",Other sugars,Maple sugar,Maple sugar
17022090,"Maple sugar, in solid form, and maple syrup (excl. flavoured or coloured)",Other sugars,Maple sugar,Maple sugar
17023010,"Isoglucose, containing in the dry state >= 10% and < 20% by weight of fructose",Other sugars,Isoglucose,Isoglucose
17023050,"Glucose ""dextrose"" in the form of white crystalline powder, whether or not agglomerated, not containing fructose or containing in the dry state < 20% by weight of glucose (excl. isoglucose)",Other sugars,Glucose,Glucose
17023051,"Glucose ""dextrose"" in the form of white crystalline powder, whether or not agglomerated, not containing fructose or containing in the dry state < 20% by weight of glucose and containing in the dry state >= 99% by weight of glucose (excl. isoglucose)",Other sugars,Glucose,Glucose
17023059,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter and not containing fructose or containing in the dry state < 20% by weight of fructose and containing in the dry state >= 99% by weight of glucose (excl. isoglucose and glucose ""dextrose"" in the form of white crystalline powder, whether or not agglomerated)",Other sugars,Glucose,Glucose
17023090,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter and not containing fructose or containing in the dry state < 20% by weight of fructose (excl. isoglucose and glucose ""dextrose"" in the form of white crystalline powder, whether or not agglomerated)",Other sugars,Glucose,Glucose
17023091,"Glucose ""dextrose"" in the form of white crystalline powder, whether or not agglomerated, not containing fructose or containing in the dry state < 20% by weight of glucose and containing in the dry state < 99% by weight of glucose (excl. isoglucose)",Other sugars,Glucose,Glucose
17023099,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter and not containing fructose or containing in the dry state < 20% by weight of fructose and < 99% by weight of glucose (excl. isoglucose and glucose ""dextrose"" in the form of white crystalline powder, whether or not agglomerated)",Other sugars,Glucose,Glucose
17024010,"Isoglucose, containing in the dry state >= 20% and < 50% by weight of fructose (excl. invert sugar)",Other sugars,Isoglucose,Isoglucose
17024090,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter, and containing in the dry state >= 20% and < 50% by weight of fructose (excl. isoglucose and invert sugar)",Other sugars,Glucose,Glucose
17025000,Chemically pure fructose in solid form,Other sugars,Fructose,Fructose
17026010,"Isoglucose, containing in the dry state > 50% by weight of fructose (excl. chemically pure fructose and invert sugar)",Other sugars,Isoglucose,Isoglucose
17026080,"Inulin syrup obtained directly by hydrolysis of inulin or oligofructoses, containing in the dry state > 50% by weight of fructose in free form or as sucrose",Other sugars,Inulin,Inulin
17026090,"Fructose in solid form and fructose syrup not containing added flavouring or colouring matter and containing, in the dry state, > 50% by weight of fructose (excl. isoglucose and chemically pure fructose)",Other sugars,Fructose,Fructose
17026095,"Fructose in solid form and fructose syrup not containing added flavouring or colouring matter and containing in the dry state > 50% by weight of fructose (excl. isoglucose, inulin syrup, chemically pure fructose and invert sugar)",Other sugars,Fructose,Fructose
17029010,"Chemically pure maltose, in solid form",Other sugars,Maltose,Maltose
17029030,"Isoglucose, containing in the dry state 50% by weight of fructose",Other sugars,Isoglucose,Isoglucose
17029050,Maltodextrine in solid form and maltodextrine syrup (excl. flavoured or coloured),Other sugars,Maltodextrine,Maltodextrine
17029060,"Artificial honey, whether or not mixed with natural honey",Other sugars,Artificial honey,Artificial honey
17029071,"Sugar and molasses, caramelised, containing in the dry state >= 50% by weight of sucrose",Other sugars,Caramel,Caramel
17029075,"Sugar and molasses, caramelised, containing in the dry state < 50% by weight of sucrose, in powder form, whether or not agglomerated",Other sugars,Caramel,Caramel
17029079,"Sugar and molasses, caramelised, containing in the dry state < 50% by weight of sucrose (excl. sugar and molasses in powder form, whether or not agglomerated)",Other sugars,Caramel,Caramel
17029080,"Inulin syrup, obtained directly by hydrolysis of inulin or oligofructoses, containing in the dry state >= 10% but <= 50% by weight of fructose in free form or as sucrose",Other sugars,Inulin,Inulin
17029090,"Sugars in solid forms, sugar syrup (excl. flavoured or coloured), (excl. 1702.10-10 to 1702.90-79)",Other sugars,Other sugars,Other sugars
17029095,"Sugars in solid form, incl. invert sugar, and sugar and sugar syrup blends containing in the dry state 50% by weight of fructose, not containing added flavouring or colouring matter (excl. cane or beet sugar, chemically pure sucrose and maltose, lactose, maple sugar, glucose, fructose, maltodextrine, and syrups thereof, isoglucose, inulin syrup and caramel)",Other sugars,Invert sugars,Invert sugars
17029099,"Sugars in solid form, incl. invert sugar, and sugar and sugar syrup blends containing in the dry state 50% by weight of fructose, not containing added flavouring or colouring matter (excl. cane or beet sugar, chemically pure sucrose and maltose, lactose, maple sugar, glucose, fructose, maltodextrine, and syrups thereof, isoglucose, inulin syrup, artificial honey and caramel)",Other sugars,Invert sugars,Invert sugars
1702S061,Confidential trade of heading 1702 and SITC group 061,Other,Confidential,Confidential
17031000,Cane molasses resulting from the extraction or refining of sugar,Molasses,Cane molasses,Cane molasses
17039000,Beet molasses resulting from the extraction or refining of sugar,Molasses,Beet molasses,Beet molasses
17041010,"Chewing gum, whether or not sugar-coated, containing < 60% sucrose, incl. invert sugar expressed as sucrose",Other,Chewing gum,Chewing gum
17041011,"Chewing gum, whether or not sugar-coated, in strips, containing < 60% sucrose, incl. invert sugar expressed as sucrose",Other,Chewing gum,Chewing gum
17041019,"Chewing gum, whether or not sugar-coated, containing < 60% sucrose, incl. invert sugar expressed as sucrose (excl. in strips)",Other,Chewing gum,Chewing gum
17041090,"Chewing gum, whether or not sugar-coated, containing >= 60% sucrose, incl. invert sugar expressed as sucrose",Other,Chewing gum,Chewing gum
17041091,"Chewing gum, whether or not sugar-coated, in strips, containing >= 60% sucrose, incl. invert sugar expressed as sucrose",Other,Chewing gum,Chewing gum
17041099,"Chewing gum, whether or not sugar-coated, containing >= 60% sucrose, incl. invert sugar expressed as sucrose (excl. in strips)",Other,Chewing gum,Chewing gum
17049010,"Liquorice extract containing > 10% sucrose, without other added substances",Other,Liquorice extract,Liquorice extract
17049030,White chocolate,Other,White chocolate,White chocolate
17049051,"Pastes, incl. marzipan, in immediate packings of >= 1 kg",Other,Marzipan,Marzipan
17049055,Throat pastilles and cough drops,Other,Throat pastilles and cough drops,Throat pastilles and cough drops
17049061,"Sugar-coated ""panned"" goods, not containing cocoa",Other,Panned goods,Panned goods
17049065,"Gum and jelly confectionery, incl. fruit pastes in the form of sugar confectionery",Other,Gum and jelly confectionery,Gum and jelly confectionery
17049071,"Boiled sweets, whether or not filled",Other,Boiled sweets,Boiled sweets
17049075,"Toffees, caramels and similar sweets",Other,Toffees,Toffees
17049081,"Compressed tablets of sugar confectionery, whether or not manufactured with binding agents, not containing cocoa (excl. chewing gum, white chocolate, throat pastilles and cough drops, gum confectionery and jelly confectionery incl. fruit pastes in the form of sugar confectionery, boiled sweets, whether or not filled, pastes, incl. marzipan, in immediate packings of a net content of >= 1 kg)",Other,Other sugar confections,Other sugar confections
17049099,"Pastes, marzipan, nougat and other prepared sugar confectionery, not containing cocoa (excl. chewing gum, white chocolate, throat pastilles and cough drops, gum and jelly confectionery incl. fruit pastes in the form of sugar confectionery, boiled sweets, toffees, caramels and similar sweets, compressed tablets, and pastes incl. marzipan in immediate packings of >= 1 kg)",Other,Marzipan,Marzipan
1704S062,Confidential trade of heading 1704 and SITC group 062,Other,Confidential,Confidential
17CCC000,Corrections due to erroneous codes belonging to chapter 17,Other,Confidential,Confidential
17MMM000,Trade broken down at chapter level only,Other,Confidential,Confidential
17SSS061,Confidential trade of chapter 17 and SITC group 061,Other,Confidential,Confidential
17SSS062,Confidential trade of chapter 17 and SITC group 062,Other,Confidential,Confidential
17SSS516,Confidential trade of chapter 17 and SITC group 516,Other,Confidential,Confidential
17SSS999,Confidential trade of chapter 17 and SITC group 999,Other,Confidential,Confidential
18010000,"Cocoa beans, whole or broken, raw or roasted",Cocoa,Cocoa beans,Cocoa beans
18020000,"Cocoa shells, husks, skins and other cocoa waste",Cocoa,Cocoa husks,Cocoa husks
