Symbol,Description,Type,Exchange
SB N22,Sugar #11 (World),Future,ICU
SB V22,Sugar #11 (World),Future,ICU
SB H23,Sugar #11 (World),Future,ICU
SB K23,Sugar #11 (World),Future,ICU
SB N23,Sugar #11 (World),Future,ICU
SB V23,Sugar #11 (World),Future,ICU
SB H24,Sugar #11 (World),Future,ICU
SB K24,Sugar #11 (World),Future,ICU
SB N24,Sugar #11 (World),Future,ICU
SB V24,Sugar #11 (World),Future,ICU
SB H25,Sugar #11 (World),Future,ICU
SB K25,Sugar #11 (World),Future,ICU
W Q22-ICL,Sugar #5 (White),Future,ICL
W V22-ICL,Sugar #5 (White),Future,ICL
W Z22-ICL,Sugar #5 (White),Future,ICL
W H23-ICL,Sugar #5 (White),Future,ICL
W K23-ICL,Sugar #5 (White),Future,ICL
W Q23-ICL,Sugar #5 (White),Future,ICL
W V23-ICL,Sugar #5 (White),Future,ICL
W Z23-ICL,Sugar #5 (White),Future,ICL
SFQ U22,Sugar #16 Domestic,Future,ICU
SFQ X22,Sugar #16 Domestic,Future,ICU
SFQ F23,Sugar #16 Domestic,Future,ICU
SFQ H23,Sugar #16 Domestic,Future,ICU
SFQ K23,Sugar #16 Domestic,Future,ICU
SFQ N23,Sugar #16 Domestic,Future,ICU
SFQ U23,Sugar #16 Domestic,Future,ICU
SFQ X23,Sugar #16 Domestic,Future,ICU
SFQ F24,Sugar #16 Domestic,Future,ICU
SFQ H24,Sugar #16 Domestic,Future,ICU
SFQ K24,Sugar #16 Domestic,Future,ICU
